Gene symbol	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001
AL391244.1	1	0	0	8	3	1
TMEM88B	2	3	5	5	2	1
LINC01770	5	1	1	2	2	0
VWA1	307	268	366	399	362	315
ATAD3C	64	57	73	73	72	85
ATAD3B	274	343	342	360	286	346
AL645728.2	14	17	15	12	10	10
ATAD3A	503	602	670	525	638	728
TMEM240	133	174	209	169	181	188
SSU72	2166	2045	2300	2332	2731	2601
AL645728.1	26	13	40	32	78	58
AL691432.3	0	0	0	0	0	0
FNDC10	150	176	370	1083	1378	1363
AL691432.2	621	784	741	419	500	394
MIB2	1236	1185	1431	793	842	928
MMP23B	9	10	13	7	10	4
CDK11B	896	891	1020	769	862	831
FO704657.1	0	1	1	0	3	0
SLC35E2B	3517	3354	4021	4673	5432	5363
AL691432.1	51	43	51	32	33	42
MMP23A	16	27	53	27	13	6
CDK11A	21	31	37	48	35	27
AL031282.2	23	18	26	32	50	33
AL031282.1	11	10	10	11	10	15
SLC35E2A	1412	1216	1427	1711	1941	1565
NADK	1252	1327	1360	1018	994	918
GNB1	18426	19141	23018	24874	27497	30700
AL109917.1	20	21	33	25	36	39
CALML6	5	3	3	6	1	1
TMEM52	14	12	18	97	87	95
CFAP74	36	36	46	29	6	18
AL391845.2	0	0	0	2	2	0
GABRD	2	0	0	17	7	9
AL391845.1	0	0	0	0	0	0
PRKCZ	661	704	1047	1633	1984	2648
AL590822.2	0	2	4	0	2	4
PRKCZ-AS1	116	121	138	120	90	72
FAAP20	715	736	910	645	805	896
AL590822.1	0	0	0	0	0	0
SKI	3025	3006	3456	1754	2000	1871
MORN1	414	448	480	101	106	136
AL589739.1	11	5	4	1	2	0
AL513477.1	223	223	294	45	31	25
AL513477.2	4	21	11	14	16	11
RER1	1749	1832	1861	1162	1158	1388
PEX10	551	647	643	221	238	266
PLCH2	48	93	254	629	398	449
AL139246.1	1	0	0	4	0	0
AL139246.4	0	0	1	2	4	1
PANK4	552	623	758	513	650	608
HES5	1	1	4	3	7	6
AL139246.5	7	4	6	12	16	11
TNFRSF14-AS1	1	1	3	5	2	2
TNFRSF14	3	7	2	5	8	3
AL139246.2	0	0	1	0	0	0
AL139246.3	1	2	2	1	1	1
PRXL2B	788	853	1080	1257	1550	1667
MMEL1	24	26	35	110	106	125
AL831784.1	2	1	1	4	2	2
TTC34	17	32	27	25	14	20
AC242022.2	0	0	0	0	0	0
AC242022.1	0	0	0	0	0	0
AL592464.2	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	0	0	0	1	8	0
PRDM16	0	2	0	28	28	8
MIR4251	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0
AL590438.1	0	0	0	0	0	0
ARHGEF16	23	23	37	40	37	24
AL512413.1	5	4	5	5	0	0
MEGF6	2627	3019	3615	735	224	140
MIR551A	0	0	0	0	0	0
AL513320.1	12	14	13	21	20	11
TPRG1L	1661	1579	1790	1111	1088	1299
WRAP73	425	495	487	387	365	337
TP73	12	16	17	23	14	43
AL136528.1	0	3	1	0	1	0
AL136528.2	0	0	0	0	0	0
TP73-AS1	1086	1151	1151	850	853	705
RF02197	0	0	0	0	0	0
CCDC27	7	9	8	6	3	7
SMIM1	36	31	73	21	9	9
LRRC47	1538	1566	2109	1864	2164	2388
RN7SL574P	4	3	1	3	3	3
AL365330.1	14	15	16	14	11	5
CEP104	1364	1208	1491	1036	1142	1243
DFFB	114	114	113	173	168	180
C1orf174	427	422	487	501	562	551
LINC01134	2	1	3	2	5	3
LINC01346	0	0	0	0	0	0
LINC01345	1	0	0	0	0	0
AL805961.1	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0
EEF1DP6	1	1	2	0	1	0
LINC01777	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
AJAP1	482	499	935	0	0	1
BX005132.2	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0
AL691497.1	0	0	1	0	0	0
AL139823.1	0	0	0	0	0	0
Z98259.3	0	0	0	0	1	0
Z98259.2	0	0	0	0	0	0
Z98259.1	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0
AL365255.1	0	0	1	0	0	0
MIR4417	0	0	0	0	0	0
MIR4689	1	0	2	0	0	0
NPHP4	1228	1297	1237	332	307	325
KCNAB2	213	272	472	884	908	938
CHD5	495	658	1431	3994	3397	3367
AL031847.2	0	0	0	0	0	0
RPL22	3922	4128	4196	2908	3126	2568
AL031847.1	1	2	9	10	10	14
RNF207	45	57	83	264	176	192
ICMT	2384	2451	2446	1552	1577	1603
LINC00337	1	1	2	1	0	2
HES3	0	1	0	3	5	2
GPR153	195	254	614	1564	2050	3067
ACOT7	882	1248	2287	5970	8100	8741
AL031848.2	0	0	0	0	0	0
HES2	1	1	0	1	2	3
ESPN	9	4	14	5	7	7
MIR4252	0	0	0	0	0	0
AL031848.1	0	0	0	0	0	0
TNFRSF25	643	513	576	451	211	152
PLEKHG5	2570	2251	2435	1189	940	1133
NOL9	558	592	610	559	628	519
RNU6-731P	0	0	0	0	1	0
AL591866.1	5	2	5	0	2	0
TAS1R1	0	3	0	5	6	4
ZBTB48	423	441	567	365	343	415
KLHL21	599	624	759	284	365	344
PHF13	794	868	1047	822	1022	878
THAP3	297	301	361	330	362	345
DNAJC11	748	743	845	729	832	1131
LINC01672	0	0	0	0	0	0
AL591163.1	0	0	0	0	0	0
CAMTA1-DT	4	8	13	18	16	16
CAMTA1	3615	3672	4804	9579	10707	10752
AL590128.1	0	0	0	0	0	0
AL512330.1	0	1	0	0	0	0
RNU1-8P	0	0	0	0	0	0
CAMTA1-IT1	1	1	3	7	12	11
Z97987.1	0	0	1	0	0	0
AL365194.1	0	0	0	0	0	0
AL359881.3	85	72	76	199	149	91
AL359881.2	28	25	26	35	31	31
AL359881.1	52	46	40	77	36	37
VAMP3	6324	6084	6055	1363	1118	494
Z98884.2	15	18	12	26	32	22
PER3	175	189	195	327	242	271
Z98884.1	0	0	3	0	0	0
UTS2	1079	593	684	7883	16484	5703
TNFRSF9	42	87	168	215	195	337
AL009183.1	0	0	0	0	0	0
PARK7	4105	4905	4946	3841	4331	4156
RF00019	264	264	300	211	187	135
AL034417.4	8	7	8	9	2	2
AL034417.3	0	0	0	0	0	0
ERRFI1	477	536	680	828	1101	1184
AL034417.2	4	5	2	3	3	4
AL034417.1	1	6	5	2	2	2
AL358876.1	0	0	0	0	0	0
LINC01714	0	0	0	1	1	0
RNU1-7P	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	222	254	356	515	632	737
RERE	5879	5590	6389	5161	5206	4410
RERE-AS1	0	3	5	0	0	0
RF00599	0	0	1	1	0	1
AL096855.1	0	0	0	0	0	0
RPL7P11	5	5	2	2	6	2
RPL7P7	0	0	1	0	0	3
AL357552.1	0	0	0	1	0	1
AL357552.2	0	0	0	1	0	0
RPL23AP19	0	2	2	0	1	0
ENO1	29284	25311	31710	19025	28373	26835
MIR6728	0	0	0	0	0	0
ENO1-AS1	2	11	6	1	3	6
RNU6-304P	0	0	0	0	0	0
HMGN2P17	3	4	4	2	4	2
AL139415.1	4	4	1	3	0	0
AL139415.2	0	0	0	0	0	0
CA6	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	0	1	0	0	0	0
SLC2A5	0	0	0	1	0	0
RF00424	1	0	1	1	0	0
GPR157	58	51	51	97	50	76
MIR34AHG	26	22	49	69	43	15
MIR34A	0	0	0	0	0	0
LNCTAM34A	7	5	6	5	3	3
H6PD	3674	3573	3351	739	510	374
SPSB1	362	281	372	296	358	476
BX323043.1	14	13	8	1	1	1
LINC02606	79	68	48	15	10	3
RNA5SP40	0	0	0	0	0	0
AL928921.1	0	0	0	0	0	0
SLC25A33	222	232	409	603	882	1079
AL954705.1	20	18	21	10	12	10
TMEM201	364	435	587	601	758	819
PIK3CD	248	244	353	863	1121	1137
PIK3CD-AS1	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0
PIK3CD-AS2	40	26	39	53	34	29
CLSTN1	11932	10323	11993	8488	7706	8725
MZT1P1	0	0	0	0	0	0
AL357140.3	0	0	0	1	2	2
CTNNBIP1	699	884	1028	1186	1336	1643
AL357140.1	0	0	0	0	0	0
AL357140.5	0	2	0	0	1	1
LZIC	1128	1131	1303	1211	1391	1556
AL357140.2	4	4	6	8	5	9
NMNAT1	425	425	447	270	302	288
RN7SKP269	0	1	0	2	6	3
AL357140.4	0	2	2	0	0	0
MIR5697	0	0	1	0	0	0
AL603962.1	0	0	0	0	0	0
RBP7	4	4	5	1	3	3
UBE4B	2253	2124	2726	2109	2402	2295
AL590639.1	0	0	0	0	0	0
PGAM1P11	0	0	0	0	0	0
RNU6-828P	0	0	5	2	0	0
KIF1B	12831	12470	15741	22707	23344	23804
MIR1273D	0	0	0	0	0	0
RNU6-37P	1	0	2	4	4	2
RN7SL731P	0	0	0	0	0	0
AL139424.3	22	17	20	31	33	33
AL139424.2	70	81	76	251	219	98
PGD	4046	4529	4940	4549	5627	5612
AL139424.1	0	0	0	0	0	0
CENPS-CORT	1	3	2	6	8	2
CENPS	47	38	55	33	30	24
CORT	13	6	3	15	14	12
DFFA	2054	1829	2222	1878	1849	1891
AL354956.1	0	0	0	0	0	0
PEX14	426	417	536	459	569	595
RN7SL614P	1	0	0	1	0	0
CASZ1	365	251	344	553	612	188
AL139423.1	12	16	13	12	12	3
HSPE1P24	0	0	0	0	0	0
C1orf127	0	0	0	0	0	1
CFL1P6	3	0	0	1	0	1
TARDBP	3044	3126	3087	2355	2630	2013
AL109811.3	0	0	0	0	0	0
MASP2	265	199	188	215	161	117
AL109811.2	92	86	81	80	80	45
SRM	862	968	1348	1123	1610	1732
EXOSC10	1474	1451	1803	1283	1504	1422
AL109811.1	8	4	5	6	7	1
EXOSC10-AS1	3	8	8	6	11	4
MTOR	2707	2711	3073	1890	1905	2041
MTOR-AS1	0	0	2	0	0	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	1	0	0	2	1	0
RNU6-291P	0	0	0	0	0	0
RPL39P6	0	0	2	0	0	1
UBIAD1	409	450	494	402	467	504
UBE2V2P3	2	1	2	2	2	4
AL031291.1	0	0	1	4	2	2
MTCYBP45	0	0	0	5	0	1
DISP3	92	106	162	399	249	223
AL590989.1	0	0	1	1	1	0
LINC01647	0	0	0	0	0	0
AL031731.1	7	5	3	34	24	24
FBXO2	268	247	463	958	933	1045
FBXO44	1042	1061	1457	2204	2501	2683
FBXO6	143	170	203	155	139	147
MAD2L2	466	570	642	604	770	669
DRAXIN	255	329	698	1746	1872	1992
AGTRAP	527	500	523	137	80	51
C1orf167	0	0	0	0	0	2
AL953897.1	0	0	0	0	0	0
MTHFR	646	733	1044	1037	1054	1390
CLCN6	1202	1139	1507	2661	2923	3402
RF02156	0	0	0	0	0	0
RF02157	0	0	0	0	0	0
NPPA	1	0	5	2	2	1
RF02158	0	0	0	0	0	0
NPPB	0	2	0	3	8	4
AL021155.1	10	4	10	6	19	18
AL021155.2	4	2	3	8	7	11
RNU5E-1	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	1
KIAA2013	1675	1724	1813	585	634	641
PLOD1	7085	6055	7380	2327	2210	1679
MFN2	2565	2914	3450	3130	3839	4526
AL096840.1	0	0	0	0	0	0
MIIP	405	424	493	576	624	701
MIR6729	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0
TNFRSF8	0	2	1	0	1	3
RNU6-777P	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0
AL357835.1	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	0	0	0	1	4	9
MIR4632	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0
RF00156	5	3	6	5	4	8
VPS13D	2869	2758	3203	1924	1906	1975
SNORA59A	3	3	9	13	8	4
AC243836.1	0	0	0	0	0	0
DHRS3	89	102	177	36	8	8
RNU6ATAC18P	0	0	0	0	0	0
MIR6730	0	0	0	0	0	0
AC254633.1	1	5	3	0	0	0
AADACL4	0	0	0	0	0	0
AC244670.1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	135	110	131	35	11	1
PRAMEF12	0	1	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0
HNRNPCL1	39	36	37	19	27	12
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	9	4	8	7	4	4
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0
HNRNPCL2	84	70	85	46	52	48
PRAMEF36P	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	1	0	1	1	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	2	5	46
AL354712.1	0	0	0	0	0	2
BRWD1P1	0	0	0	1	0	2
PDPN	866	809	866	142	118	33
RNA5SP41	0	0	0	0	0	0
AL359771.1	0	1	0	0	0	1
RF00564	1	0	1	1	0	0
PRDM2	2639	2451	2894	2615	3466	3337
KAZN	1278	1719	1858	1501	1091	1330
RNU6-1265P	0	0	0	0	0	0
AL357873.1	0	0	0	2	3	1
KAZN-AS1	0	0	0	0	0	0
TBCAP2	3	2	5	1	1	4
TMEM51-AS1	4	2	11	15	6	10
TMEM51	15	13	28	48	37	33
C1orf195	0	0	0	0	0	0
AL035405.1	0	0	0	0	0	0
AL391094.1	0	1	0	0	0	0
FHAD1	76	100	87	26	26	5
AL031283.2	3	1	1	1	1	0
AL031283.3	0	2	1	1	0	0
AL031283.1	8	4	4	14	1	7
EFHD2	435	539	613	457	437	416
CTRC	0	2	2	3	0	0
CELA2A	2	0	5	4	2	2
CELA2B	3	5	5	5	4	5
CASP9	582	548	627	503	589	546
DNAJC16	1094	1064	1111	876	1035	828
SCARNA21B	0	0	0	0	0	0
AL121992.3	0	0	0	3	1	0
AGMAT	8	9	5	22	29	31
AL121992.1	12	2	9	4	9	10
CHCHD2P6	166	172	219	66	65	95
RNU7-179P	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0
DDI2	950	950	964	932	1012	919
RSC1A1	0	0	0	0	0	0
AL121992.2	0	1	0	0	2	0
PLEKHM2	1078	1086	1351	1701	1934	2308
AL450998.2	8	15	8	9	3	6
SLC25A34	58	36	34	63	42	27
SLC25A34-AS1	0	0	0	0	0	0
TMEM82	1	0	0	0	0	0
FBLIM1	151	153	355	641	850	741
RPL12P14	12	2	11	14	9	13
UQCRHL	1029	1173	1230	1213	1207	1328
AL450998.1	40	27	37	17	27	38
FLJ37453	130	189	203	145	158	145
SPEN	2940	2532	3560	2644	2952	3046
AL034555.1	0	0	0	0	0	0
ZBTB17	569	653	689	667	837	816
AL355994.4	0	0	0	0	1	1
AL355994.1	0	0	0	0	0	0
AL355994.5	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	0
SRARP	0	0	0	0	0	0
AL355994.3	0	0	0	0	0	0
HSPB7	64	43	92	50	39	29
CLCNKA	15	15	20	17	13	16
AL355994.2	14	25	59	102	134	199
CLCNKB	43	25	34	16	10	15
FAM131C	58	77	152	244	296	422
EPHA2	32	32	37	33	32	33
AL451042.2	0	0	0	0	0	0
AL451042.1	0	0	0	0	0	0
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	32	28	43	46	30	40
ANO7L1	5	5	6	9	5	7
CPLANE2	75	110	138	88	123	199
MT1XP1	8	7	3	9	7	9
FBXO42	1428	1341	1646	1882	2016	2055
SZRD1	1748	1939	2256	1000	1229	1218
RPL22P3	275	349	315	256	233	176
SPATA21	2	1	1	2	0	1
NECAP2	1486	1562	1502	484	408	277
LINC01772	87	67	73	89	42	34
CROCCP3	418	358	418	241	220	184
RNU1-1	0	0	0	0	0	0
AL137802.2	1	10	9	14	11	23
AL137802.3	1	1	2	8	9	4
AL137802.1	0	0	0	0	0	0
LINC01783	1	1	2	11	9	1
RNU1-6P	0	0	0	0	0	0
AL355149.1	0	0	0	0	0	1
NBPF1	2153	2119	2081	1349	1595	1428
AL137798.1	3	3	3	0	1	0
CROCCP2	476	455	538	753	739	691
AL137798.3	0	0	0	0	0	0
MST1P2	141	146	140	68	55	45
AL137798.2	1	1	1	3	2	2
RNU1-3	0	0	4	1	1	1
AL021920.2	4	2	3	1	3	4
EIF1AXP1	429	440	545	489	584	848
ESPNP	0	0	0	1	1	0
AL021920.1	0	0	0	0	0	0
AL021920.3	1	0	1	0	2	2
CROCC	1398	1310	1337	766	589	522
CROCCP4	3	1	4	0	2	1
RNU1-4	0	0	2	0	2	1
MST1L	27	25	37	38	30	20
BX284668.1	0	0	0	0	0	0
BX284668.3	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0
BX284668.2	1	1	3	3	14	7
RNU1-5P	0	0	0	0	0	0
BX284668.5	13	24	15	11	6	2
BX284668.4	0	1	0	1	0	2
RNU1-2	1	2	55	4	9	2
BX284668.6	3	5	5	3	0	5
MFAP2	2949	2830	3222	780	387	117
AL049569.1	1	2	2	1	1	0
ATP13A2	2496	2457	3868	4931	5892	7575
SDHB	1085	1177	1423	1198	1621	1825
PADI2	6	7	17	66	64	39
AL590644.1	0	0	0	0	1	0
AL590644.3	0	0	0	0	0	0
PADI1	0	0	0	3	3	6
PADI3	0	0	0	0	2	0
MIR3972	0	0	0	0	0	0
PADI4	0	0	0	0	0	0
PADI6	0	0	0	0	0	0
AC004824.1	0	0	0	0	0	0
RCC2	1633	1830	2028	1094	1530	1136
ARHGEF10L	897	999	1209	1742	1783	1902
AL136529.1	0	0	0	1	0	0
ACTL8	0	0	0	0	0	0
AL357509.1	0	0	0	0	0	0
LINC01654	0	0	1	0	0	0
IGSF21	32	34	42	76	16	61
AL365209.1	0	0	0	0	0	0
IGSF21-AS1	2	0	0	0	0	0
AL591896.1	0	0	0	0	0	0
KLHDC7A	0	0	0	0	0	0
DYNLL1P3	3	1	2	1	2	0
AL031737.1	0	0	0	0	0	0
PAX7	0	0	0	22	9	11
TAS1R2	0	0	0	0	0	0
AL080251.1	0	1	0	0	0	0
ALDH4A1	645	696	664	351	249	198
MIR4695	0	0	0	0	0	0
MIR1290	0	0	0	0	0	0
IFFO2	553	567	620	642	760	798
AL137127.1	15	26	30	35	40	23
UBR4	7113	5846	7678	5845	6188	7317
EMC1-AS1	8	7	9	0	1	1
EMC1	3852	3740	3704	1842	2043	1887
MRTO4	471	556	636	487	698	758
AKR7L	31	36	23	38	42	19
AKR7A3	37	55	34	14	16	29
AL035413.1	63	65	60	32	31	42
AKR7A2	977	1092	1286	468	492	470
RNU6-1099P	2	1	0	2	0	0
PQLC2	366	366	444	242	306	375
CAPZB	3444	3459	4117	4170	5061	5005
RN7SL277P	0	0	0	0	0	0
MINOS1	527	545	648	597	697	715
RNU4-28P	0	0	0	0	0	0
AL031727.2	0	0	0	0	1	2
NBL1	435	350	382	701	1019	1149
MINOS1-NBL1	0	0	0	0	0	0
AL031727.1	12	28	18	32	33	10
HTR6	1	1	0	16	7	8
TMCO4	9	9	5	14	4	2
RNF186	0	0	0	0	0	0
AL391883.1	0	0	0	0	0	0
OTUD3	497	503	547	845	756	578
PLA2G2E	0	1	0	0	0	0
RN7SL304P	0	0	0	0	0	0
PLA2G2A	1	0	0	2	1	0
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	0	0	0	0	0	0
Z98257.1	0	0	1	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10-AS1	0	2	0	3	1	2
UBXN10	130	103	64	131	101	86
LINC01757	0	0	0	0	0	0
Z98257.2	0	0	0	0	0	0
VWA5B1	46	61	37	26	11	4
AL020998.1	0	0	0	0	0	0
LINC01141	0	0	0	0	0	0
AL139254.1	0	0	0	0	0	1
AL139254.2	0	0	0	0	0	0
AL139254.3	0	0	0	0	0	0
CAMK2N1	716	913	2413	5783	7431	5808
MUL1	1032	1040	1144	676	805	842
RPS4XP4	0	0	0	1	1	1
FAM43B	61	91	144	155	182	63
CDA	0	0	1	0	1	0
PINK1	660	649	831	757	977	896
MIR6084	0	0	0	0	0	0
PINK1-AS	221	251	267	102	91	75
DDOST	5672	6042	6384	2486	2469	2437
KIF17	236	251	343	262	211	305
AL663074.2	0	0	1	1	0	0
SH2D5	26	36	119	248	193	180
AL663074.1	0	0	0	0	0	0
HP1BP3	6112	6205	6466	3642	3414	3133
EIF4G3	7742	7371	8468	7640	8020	7827
RNU7-200P	2	1	0	0	0	0
MIR1256	0	0	1	1	0	0
RPS15AP6	0	0	0	0	0	0
AL627311.1	0	0	0	0	0	0
HSPE1P27	0	0	0	0	0	0
ECE1	8660	7920	9546	1546	1328	755
AL031005.1	2	1	3	0	0	0
AL031728.1	11	11	12	3	3	5
PPP1R11P1	22	26	33	32	49	55
AL592309.1	0	0	1	0	1	1
AL592309.2	3	4	7	15	10	13
NBPF2P	14	17	19	16	18	17
HS6ST1P1	425	418	540	248	343	367
CROCCP5	0	1	1	2	2	5
NBPF3	485	500	490	427	417	414
PFN1P10	0	0	0	0	0	0
ALPL	19	13	45	23	44	56
LINC02596	0	0	0	0	0	0
RAP1GAP	560	623	1232	1972	2197	3504
USP48	2268	2179	2479	2382	2515	2283
AL590103.1	0	0	0	0	0	0
LDLRAD2	4	3	10	1	0	0
HSPG2	1114	699	764	128	56	27
AL590556.1	2	1	0	0	0	0
AL590556.2	0	0	0	0	0	0
CELA3B	0	0	0	0	0	0
AL590556.3	0	0	0	0	0	0
RN7SL386P	0	0	0	0	0	0
RNU6-1022P	0	0	0	0	0	0
CELA3A	0	0	0	0	1	0
